ACT97415.1	ARO:3002999	CblA-1	mixed culture bacterium AX_gF3SD01_15
ACN65419.1	ARO:3002432	OKP-A-15	Klebsiella pneumoniae
BAB38260.1	ARO:3000830	cpxA	Escherichia coli O157:H7 str. Sakai
CAJ77856.1	ARO:3000777	adeF	Acinetobacter baumannii AYE
BAB41874.1	ARO:3000815	mgrA	Staphylococcus aureus subsp. aureus N315
AFC75525.1	ARO:3001055	TEM-195	Acinetobacter baumannii
BAH66386.1	ARO:3002574	AAC(6')-Iaf	Pseudomonas aeruginosa
CAP69659.1	ARO:3003017	dfrA21	Salmonella enterica subsp. enterica serovar Bredeney
BAA03674.1	ARO:3001300	myrA	Micromonospora griseorubida
ABH10964.1	ARO:3002830	vgaALC	Staphylococcus haemolyticus
AFH36332.1	ARO:3001677	OXA-236	Acinetobacter baumannii
ACB73258.1	ARO:3001112	SHV-56	Klebsiella pneumoniae
ACI95258.1	ARO:3002318	KPC-8	Klebsiella pneumoniae
AHL30276.1	ARO:3001562	OXA-376	Acinetobacter baumannii
AEP40500.1	ARO:3002912	vanN	Enterococcus faecium
AFP99885.1	ARO:3002299	VIM-29	Escherichia coli
ACD35503.1	ARO:3000572	tet(42)	Micrococcus sp. SMCC G887
AEM62948.1	ARO:3003196	tet(45)	Bhargavaea cecembensis
AAA71915.1	ARO:3000173	tet(E)	Escherichia coli
AAA99931.1	ARO:3003060	tsnR	Streptomyces laurentii
BAF95726.1	ARO:3002050	CMY-39	Citrobacter freundii
ABW90721.1	ARO:3002287	VIM-17	Pseudomonas aeruginosa
AEU17778.1	ARO:3002224	IMP-33	Pseudomonas aeruginosa
ABM67078.1	ARO:3002210	IMP-19	Aeromonas caviae
AAF05612.1	ARO:3000944	TEM-78	Escherichia coli
ABV26705.1	ARO:3002849	arr-4	Pseudomonas aeruginosa
AAD23513.1	ARO:3003002	CfxA2	Prevotella intermedia
AAN38836.1	ARO:3001886	CTX-M-24	Klebsiella pneumoniae
ACA30420.1	ARO:3002036	CMY-25	Klebsiella pneumoniae
BAQ56016.1	ARO:3003659	IMP-51	Pseudomonas aeruginosa
AAA65955.1	ARO:3002942	vanHA	Enterococcus faecium
AAZ04784.1	ARO:3002711	QnrA5	Shewanella algae
AIT76102.1	ARO:3002150	DHA-19	Morganella morganii
ADC91899.1	ARO:3002343	GES-14	Acinetobacter baumannii
ABD30512.1	ARO:3000839	arlS	Staphylococcus aureus subsp. aureus NCTC 8325
ADM92606.1	ARO:3000549	adeS	Acinetobacter baumannii
CAC04522.1	ARO:3002514	OCH-1	Ochrobactrum anthropi
AGD91915.1	ARO:3001778	OXA-232	Escherichia coli
AAA83417.1	ARO:3001407	OXA-12	Aeromonas sobria
AGW83446.1	ARO:3001535	OXA-348	Acinetobacter calcoaceticus
ABA60809.1	ARO:3001141	SHV-89	Klebsiella pneumoniae
AAK55534.1	ARO:3001881	CTX-M-19	Klebsiella pneumoniae
AEB98921.1	ARO:3001480	OXA-195	Acinetobacter nosocomialis
AFC95894.1	ARO:3001814	OXA-199	Shewanella xiamenensis
AAV70602.1	ARO:3001900	CTX-M-38	Klebsiella pneumoniae
AAQ01671.1	ARO:3000983	TEM-121	Escherichia coli
CAI30650.2	ARO:3001116	SHV-61	Klebsiella pneumoniae
ABM97538.1	ARO:3001919	CTX-M-58	Escherichia coli
ABN48311.1	ARO:3001918	CTX-M-56	Escherichia coli
AAW47922.1	ARO:3001002	TEM-138	Salmonella enterica
BAA23130.1	ARO:3002493	SRT-1	Serratia marcescens
AAP93847.1	ARO:3002477	LEN-14	Enterobacter cloacae] Partial
CAC17623.1	ARO:3002516	OCH-3	Ochrobactrum anthropi
ABV72593.1	ARO:3001150	SHV-101	Klebsiella pneumoniae
AAL17873.1	ARO:3002403	OXY-2-8	Klebsiella oxytoca
AJP67511.1	ARO:3003179	VIM-43	Pseudomonas aeruginosa
CAA24743.1	ARO:3002655	APH(4)-Ia	Escherichia coli
BAA32493.1	ARO:3000423	FomA	Streptomyces wedmorensis
CBG22732.1	ARO:3002341	GES-12	Acinetobacter baumannii
AHL39330.1	ARO:3002117	CMY-105	Citrobacter freundii
AAL82588.1	ARO:3002600	AAC(3)-Ib/AAC(6')-Ib''	Pseudomonas aeruginosa
AAL68926.1	ARO:3001093	SHV-35	Klebsiella pneumoniae
AGK82336.1	ARO:3001383	TEM-206	Escherichia coli
CAA71699.2	ARO:3001416	OXA-21	Acinetobacter baumannii
AEI83429.1	ARO:3001168	SHV-121	Klebsiella pneumoniae
AAA99503.1	ARO:3003250	bcrC	Bacillus licheniformis
AXA30439.1	ARO:3002459	LEN-9	Klebsiella variicola
AAA65957.1	ARO:3002949	vanXA	Enterococcus faecium
BAF80809.1	ARO:3002665	npmA	Escherichia coli
CAP12354.2	ARO:3002429	OKP-A-12	Klebsiella pneumoniae
AAF66653.1	ARO:3000959	TEM-92	Proteus mirabilis
AHA80101.1	ARO:3002112	CMY-100	Citrobacter freundii
AAK38324.1	ARO:3000840	JOHN-1 beta-lactamase	Flavobacterium johnsoniae UW101
BAD06399.1	ARO:3002332	GES-3	Klebsiella pneumoniae
AAO42602.1	ARO:3002168	MIR-2	Enterobacter cloacae
WP_063860086.1	ARO:3001948	CTX-M-88	Enterobacteriaceae
ABW70410.1	ARO:3001644	OXA-113	Acinetobacter baumannii
CAJ19611.1	ARO:3002436	OKP-B-3	Klebsiella pneumoniae
AAL20862.1	ARO:3000826	sdiA	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
ABX54689.1	ARO:3002973	vanTmL	Enterococcus faecalis
AIY30331.1	ARO:3003160	OXA-422	Acinetobacter baumannii
ADI58622.1	ARO:3001472	OXA-178	Acinetobacter baumannii
CAD69003.1	ARO:3003094	imiH	Aeromonas hydrophila
CAP12349.2	ARO:3002468	LEN-21	Klebsiella pneumoniae
AHE41345.1	ARO:3002797	QnrS8	Klebsiella pneumoniae
AEP16366.1	ARO:3001784	OXA-181	Klebsiella pneumoniae
AHM76779.1	ARO:3001840	ACT-19	Enterobacter cloacae
AEI83430.1	ARO:3001181	SHV-137	Klebsiella pneumoniae
ABC26007.1	ARO:3001623	OXA-83	Acinetobacter baumannii
AAR84672.1	ARO:3002925	vanRF	Paenibacillus popilliae ATCC 14706
AIT76086.1	ARO:3001850	ACT-30	Enterobacter cloacae
AFQ23958.1	ARO:3001191	SHV-152	Klebsiella pneumoniae
AAA98406.1	ARO:3001404	OXA-9	Klebsiella pneumoniae
CCK86744.1	ARO:3001347	SHV-164	Klebsiella pneumoniae
AAM77075.1	ARO:3002695	cmlA5	uncultured bacterium
BAL72196.1	ARO:3001985	CTX-M-126	Escherichia coli
ABQ00181.1	ARO:3001024	TEM-158	Escherichia coli
CAJ19618.1	ARO:3002442	OKP-B-9	Klebsiella pneumoniae
CAM96571.1	ARO:3004605	ermZ	Streptomyces ambofaciens
AAA76822.1	ARO:3002654	APH(3')-VIIa	Campylobacter jejuni
AAB58447.1	ARO:3002662	APH(9)-Ia	Legionella pneumophila 130b
ABA71732.1	ARO:3003069	vanXYG	Enterococcus faecalis
ACX31142.1	ARO:3001455	OXA-150	Acinetobacter baumannii
AAZ66866.1	ARO:3002032	CMY-21	Escherichia coli
AJG06172.1	ARO:3003172	ACT-37	Enterobacter cloacae
CCA94644.1	ARO:3001486	OXA-208	Acinetobacter baumannii
CAA66307.2	ARO:3000592	ErmN	Streptomyces fradiae
AEI52842.1	ARO:3002078	CMY-65	Citrobacter sp. 913
AAS13759.1	ARO:3002278	VIM-8	Pseudomonas aeruginosa
CAI99385.1	ARO:3002856	dfrA24	Escherichia coli
AAL05554.1	ARO:3003206	lsaE	Enterococcus faecalis
ADE58494.1	ARO:3001175	SHV-128	Enterobacter cloacae
ABX72042.1	ARO:3002727	QnrB13	Citrobacter freundii
CAD32565.1	ARO:3001770	OXA-43	Burkholderia pseudomallei
ACT97371.1	ARO:3003097	CfxA6	uncultured organism
AAD50818.2	ARO:3002019	CMY-8	Klebsiella pneumoniae
CAP12348.2	ARO:3002467	LEN-20	Klebsiella pneumoniae
CAA75402.1	ARO:3002015	CMY-4	Proteus mirabilis
AEL00458.1	ARO:3002751	QnrB36	Citrobacter freundii
ACO56763.1	ARO:3002376	VEB-7	Acinetobacter baumannii
ADI58618.1	ARO:3001658	OXA-174	Acinetobacter baumannii
CAJ19610.1	ARO:3002435	OKP-B-2	Klebsiella pneumoniae
BAB16308.1	ARO:3000958	TEM-91	Escherichia coli
CAA71441.1	ARO:3003095	imiS	Aeromonas veronii
AEM44650.1	ARO:3001967	CTX-M-107	Shigella sp. SH219] Partial
AAF93177.1	ARO:3001874	CTX-M-11	Klebsiella pneumoniae
BAO05497.1	ARO:3002071	CMY-110	Escherichia coli
AFO69261.1	ARO:3001984	CTX-M-125	Enterobacter cloacae
AHL39322.1	ARO:3002098	CMY-85	Citrobacter freundii
CAC14594.1	ARO:3003055	smeD	Stenotrophomonas maltophilia
AAW66604.1	ARO:3000883	TEM-11	Proteus mirabilis
AFQ23968.1	ARO:3001201	SHV-162	Klebsiella pneumoniae
AAD33116.2	ARO:3000934	TEM-67	Proteus mirabilis
AEM97672.1	ARO:3002073	CMY-60	Escherichia coli
AAP69916.1	ARO:3001780	OXA-85	Fusobacterium nucleatum
AAK84316.1	ARO:3002843	vatD	Enterococcus faecium
CAE51638.1	ARO:3002641	APH(3')-Ia	Serratia marcescens
CAA74912.2	ARO:3000888	TEM-17	Capnocytophaga ochracea
AJO16040.1	ARO:3001350	SHV-180	Klebsiella pneumoniae
AAV37205.1	ARO:3003005	CfxA4	Bacteroides fragilis
ACN85419.1	ARO:3001804	OXA-145	Pseudomonas aeruginosa
ACT33323.1	ARO:3002293	VIM-23	Enterobacter cloacae
AGH70380.1	ARO:3002111	CMY-98	Citrobacter freundii
ABA71729.1	ARO:3002959	vanYG1	Enterococcus faecalis
CAA56561.1	ARO:3003553	CepS beta-lactamase	Aeromonas sobria
WP_064190968.1	ARO:3002583	AAC(6')-29a	Pseudomonas aeruginosa
AGC54799.1	ARO:3002108	CMY-95	Escherichia coli
AGK40892.1	ARO:3001384	TEM-207	Escherichia coli
AAC36915.1	ARO:3000593	ErmQ	Clostridium perfringens
ADK25050.1	ARO:3002267	IND-11	Chryseobacterium indologenes
AAS79458.1	ARO:3001302	chrB	Streptomyces bikiniensis
AAK69828.1	ARO:3001090	SHV-32	Klebsiella pneumoniae
ADY02545.1	ARO:3001960	CTX-M-101	Escherichia coli
AIT76091.1	ARO:3002129	CMY-118	Citrobacter freundii
ABN51007.1	ARO:3002046	CMY-35	Citrobacter freundii
CAJ47133.2	ARO:3001132	SHV-78	Klebsiella pneumoniae
AAG29757.1	ARO:3002257	IND-2	Chryseobacterium indologenes
ADK35871.1	ARO:3001467	OXA-167	Acinetobacter baumannii
ACX70402.1	ARO:3001654	OXA-143	Acinetobacter baumannii
ADB90239.1	ARO:3001041	TEM-176	Escherichia coli
AAG36927.1	ARO:3002133	DHA-2	Klebsiella pneumoniae
BAD16611.1	ARO:3001898	CTX-M-36	Escherichia coli
CAJ32372.1	ARO:3001015	TEM-148	Escherichia coli
AGZ83154.1	ARO:3001545	OXA-358	Acinetobacter calcoaceticus
AJO16038.1	ARO:3001553	OXA-366	Acinetobacter baumannii
BAD83775.1	ARO:3001897	CTX-M-35	Klebsiella oxytoca
CAB96921.1	ARO:3000606	FEZ-1 beta-lactamase	Fluoribacter gormanii
ABG49324.1	ARO:3002609	aadA9	Corynebacterium sp. L2-79-05
CCI51002.2	ARO:3002767	QnrB54	Citrobacter freundii
CAP12351.2	ARO:3002470	LEN-23	Klebsiella pneumoniae
AAG05883.1	ARO:3000805	OprN	Pseudomonas aeruginosa PAO1
CAA78046.1	ARO:3002701	Rhodococcus fascians cmr	Rhodococcus fascians
AEP43731.1	ARO:3001493	OXA-225	Acinetobacter baumannii
ADZ48685.1	ARO:3002346	GES-17	Escherichia coli
AJO16046.1	ARO:3003167	CTX-M-159	Proteus mirabilis
ACY01749.1	ARO:3002217	IMP-26	Pseudomonas aeruginosa
ACI25375.1	ARO:3001032	TEM-166	Escherichia coli
CAA37699.1	ARO:3003565	r39 beta-lactamase	Actinomadura sp. R39
AHJ02283.1	ARO:3003186	CARB-23	Vibrio parahaemolyticus UCM-V493
BAA34299.1	ARO:3003034	mexX	Pseudomonas aeruginosa PAO1
ALX99516.1	ARO:3003811	adeC	Acinetobacter baumannii
CAI43413.1	ARO:3002390	OXY-1-2	Klebsiella oxytoca
AWU66462.1	ARO:3004866	NDM-23	Klebsiella pneumoniae
AFK73431.1	ARO:3002062	CMY-51	Citrobacter freundii
CAA11471.1	ARO:3002192	IMP-1	Pseudomonas aeruginosa
AAD51347.1	ARO:3003067	smeS	Stenotrophomonas maltophilia
AAK52604.1	ARO:3001425	OXA-31	Pseudomonas aeruginosa
CEA29751.1	ARO:3003155	SHV-188	Klebsiella pneumoniae
AAA99504.1	ARO:3002987	bcrA	Bacillus licheniformis
ACS71747.1	ARO:3002738	QnrB23	Citrobacter freundii
AAN28732.1	ARO:3002409	OXY-3-1	Klebsiella oxytoca
ABX54687.1	ARO:3002910	vanL	Enterococcus faecalis
CAB13167.1	ARO:3003064	ykkD	Bacillus subtilis subsp. subtilis str. 168
CAA71948.1	ARO:3001065	SHV-6	Klebsiella pneumoniae
ACQ82810.1	ARO:3002502	PDC-5	Pseudomonas aeruginosa
ABO93588.1	ARO:3002715	QnrB2	Proteus mirabilis
ADI46626.1	ARO:3002739	QnrB24	Citrobacter freundii
CAD09800.1	ARO:3000873	TEM-1	Salmonella enterica subsp. enterica serovar Typhi str. CT18
CAA44667.1	ARO:3001305	ErmU	Streptomyces lincolnensis
AGE83081.2	ARO:3002308	VIM-38	Pseudomonas aeruginosa
AEQ94272.1	ARO:3002757	QnrB42	Klebsiella pneumoniae
AAS89982.1	ARO:3000975	TEM-112	Escherichia coli
AAF03531.1	ARO:3002569	AAC(6')-Iy	Salmonella enterica subsp. enterica serovar Enteritidis
AGI65307.1	ARO:3001681	OXA-278	Acinetobacter schindleri
BAP34782.1	ARO:3002008	CTX-M-151	Salmonella enterica
ABG77582.1	ARO:3001021	TEM-155	Proteus mirabilis
AFU25638.1	ARO:3002096	CMY-83	Citrobacter braakii
AAQ98890.1	ARO:3000984	TEM-122	Escherichia coli
AAM70498.1	ARO:3001887	CTX-M-25	Escherichia coli
AFI72872.1	ARO:3002252	CARB-14	Acinetobacter baumannii
CAB37325.2	ARO:3001074	SHV-15	Escherichia coli
AAB51384.1	ARO:3001067	SHV-8	Escherichia coli
BAJ09383.1	ARO:3003046	qacA	Staphylococcus aureus
AAU95779.1	ARO:3002169	MIR-3	Enterobacter cloacae
AAF34335.1	ARO:3001079	SHV-21	Klebsiella pneumoniae
AAC74149.2	ARO:3001216	mdtH	Escherichia coli str. K-12 substr. MG1655
AAY32951.1	ARO:3002837	lnuC	Streptococcus agalactiae
AAU95768.1	ARO:3000026	mepA	Staphylococcus aureus
AJO16044.1	ARO:3001391	TEM-214	Escherichia coli
ACX31140.1	ARO:3001453	OXA-148	Acinetobacter baumannii
AHA80961.1	ARO:3002005	CTX-M-147	Klebsiella pneumoniae
ABF47469.1	ARO:3002790	QnrS1	Salmonella enterica subsp. enterica serovar Bovismorbificans
BAN04737.1	ARO:3002774	QnrB61	Citrobacter braakii
AAC14693.1	ARO:3002637	APH(2'')-IVa	Enterococcus casseliflavus
AFP97030.1	ARO:3001797	OXA-46	Pseudomonas aeruginosa
CAG25835.1	ARO:3002458	LEN-8	Klebsiella pneumoniae
AAC75135.2	ARO:3000792	mdtA	Escherichia coli str. K-12 substr. MG1655
AGL43632.1	ARO:3002783	QnrB71	Citrobacter braakii
CAA10975.1	ARO:3000194	tetW	Butyrivibrio fibrisolvens
ABA71728.1	ARO:3002937	vanSG	Enterococcus faecalis
ABR10840.1	ARO:3002272	VIM-2	Pseudomonas aeruginosa
AAN63648.1	ARO:3000844	TUS-1 beta-lactamase	Myroides odoratus DSM 2801
AEG74319.1	ARO:3002794	QnrS5	Aeromonas sobria
ACD84988.1	ARO:3001651	OXA-130	Acinetobacter baumannii
ACJ63260.1	ARO:3000413	sul3	Escherichia coli
AGZ83153.1	ARO:3001544	OXA-357	Acinetobacter calcoaceticus
AAL03985.1	ARO:3000937	TEM-71	Klebsiella pneumoniae
AIT76114.1	ARO:3002181	MIR-16	Enterobacter asburiae
ACQ82807.1	ARO:3002497	PDC-1	Pseudomonas aeruginosa PAO1
AHM76774.1	ARO:3001843	ACT-22	Enterobacter cloacae
AHV80711.1	ARO:3002863	dfrA8	Salmonella enterica subsp. enterica serovar Typhimurium
AEO44980.1	ARO:3001489	OXA-217	Acinetobacter baumannii
ADX07747.1	ARO:3001667	OXA-202	Acinetobacter baumannii
ABP49606.1	ARO:3001818	ACC-4	Escherichia coli
AGW83450.1	ARO:3001539	OXA-352	Acinetobacter calcoaceticus
AHL30280.1	ARO:3001566	OXA-380	Acinetobacter baumannii
ABX54691.1	ARO:3002927	vanRL	Enterococcus faecalis
KSC15183.1	ARO:3002537	AAC(3)-IIIb	Pseudomonas aeruginosa
ABS30107.1	ARO:3002725	QnrB11	Citrobacter freundii
SAU22663.1	ARO:3001442	OXA-117	Klebsiella pneumoniae
ACY56711.1	ARO:3002480	OXA-144	Acinetobacter baumannii
AHL30277.1	ARO:3001563	OXA-377	Acinetobacter baumannii
ADL13944.1	ARO:3000903	TEM-33	Escherichia coli
AFU91598.1	ARO:3001788	OXA-204	Klebsiella pneumoniae
ABP87778.1	ARO:3002720	QnrB6	Pantoea agglomerans
AGW16407.1	ARO:3001513	OXA-325	Acinetobacter calcoaceticus
AAT90846.1	ARO:3003556	SLB-1	Shewanella livingstonensis
CAA63262.1	ARO:3001864	CTX-M-1	Escherichia coli
CAA38429.1	ARO:3000874	TEM-2	Pseudomonas aeruginosa
AGE45503.1	ARO:3002162	FOX-10	Klebsiella pneumoniae
AIT76105.1	ARO:3002147	DHA-16	Morganella morganii
AAL82592.1	ARO:3001094	SHV-36	Klebsiella pneumoniae
ADP20705.1	ARO:3001373	TEM-182	Haemophilus parainfluenzae
CAB14620.1	ARO:3002627	aadK	Bacillus subtilis subsp. subtilis str. 168
CAC17627.1	ARO:3002520	OCH-7	Ochrobactrum anthropi
CAA88908.1	ARO:3002402	OXY-2-7	Klebsiella oxytoca
AAL19306.1	ARO:3000789	mdsA	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
ABC84263.1	ARO:3001704	OXA-87	Acinetobacter baumannii
AHL39338.1	ARO:3001845	ACT-25	Enterobacter cloacae
