geneID	taxon	count	SampleID
BAE78116.1	Escherichia coli str. K-12 substr. W3110	20.0	508_t0
AAC75731.1	Escherichia coli str. K-12 substr. MG1655	9.0	508_t0
AAF36805.1	Paenibacillus popilliae ATCC 14706	15.0	508_t0
AAM09849.1	Enterococcus faecium	29.0	508_t0
AAA23018.1	Campylobacter coli	23.0	508_t0
AAW66497.1	Acinetobacter sp. LUH5605	3.0	508_t0
AAD51347.1	Stenotrophomonas maltophilia	45.0	508_t0
CAE53424.1	Pasteurella multocida	16.0	508_t0
AAP93922.1	Serratia marcescens	3.0	508_t0
BAE77778.1	Escherichia coli str. K-12 substr. W3110	19.0	508_t0
AAG03548.1	Pseudomonas aeruginosa PAO1	25.0	508_t0
ACJ63260.1	Escherichia coli	11.0	508_t0
ABX54689.1	Enterococcus faecalis	18.0	508_t0
ACM47284	Enterococcus faecium	11.0	508_t0
AML99881.1	Salmonella enterica subsp. enterica serovar Typhimurium	10.0	508_t0
EHL92831.1	Klebsiella sp. 4_1_44FAA	15.0	508_t0
BAA07072.1	Photobacterium damselae subsp. piscicida	3.0	508_t0
CAA79966.1	Enterobacter cloacae	2.0	508_t0
AGZ55247.1	Bacillus amyloliquefaciens CC178	6.0	508_t0
ANZ79476.1	Helcococcus kunzii	12.0	508_t0
CAA40897.1	Escherichia coli	24.0	508_t0
BAL43360.1	Photobacterium damselae subsp. damselae	52.0	508_t0
ABO11759.2	Acinetobacter baumannii ATCC 17978	11.0	508_t0
BAE78083.1	Escherichia coli str. K-12 substr. W3110	13.0	508_t0
AAZ42322.1	Vibrio cholerae	7.0	508_t0
KTE89608.1	Desulfitobacterium hafniense	17.0	508_t0
BAB41874.1	Staphylococcus aureus subsp. aureus N315	13.0	508_t0
BAE78084.1	Escherichia coli str. K-12 substr. W3110	9.0	508_t0
CAQ49384.1	Staphylococcus aureus subsp. aureus ST398	19.0	508_t0
BAE78082.1	Escherichia coli str. K-12 substr. W3110	18.0	508_t0
AAC75733.1	Escherichia coli str. K-12 substr. MG1655	15.0	508_t0
ACN32294.1	Escherichia coli	13.0	508_t0
WP_001572373.1	Enterobacteriales	7.0	508_t0
AAB53259.1	Lactobacillus reuteri	7.0	508_t0
EIM09515.1	Bacillus atrophaeus C89	2.0	508_t0
AAD51346.1	Stenotrophomonas maltophilia	33.0	508_t0
AAA23215.1	Clostridium perfringens	13.0	508_t0
AAK84316.1	Enterococcus faecium	30.0	508_t0
BAB35162.1	Escherichia coli O157:H7 str. Sakai	5.0	508_t0
AAC76296.1	Escherichia coli str. K-12 substr. MG1655	10.0	508_t0
CAA52904.1	Streptococcus pyogenes	2.0	508_t0
AAG57600.1	Escherichia coli O157:H7 str. EDL933	2.0	508_t0
CAB14620.1	Bacillus subtilis subsp. subtilis str. 168	4.0	508_t0
BAD12078.1	Acinetobacter pittii	14.0	508_t0
CAI99385.1	Escherichia coli	1.0	508_t0
BAH63251.1	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	3.0	508_t0
CCC86795.1	Staphylococcus aureus subsp. aureus LGA251	13.0	508_t0
AAG05915.1	Pseudomonas aeruginosa PAO1	12.0	508_t0
AAA26699.1	Streptomyces fradiae	1.0	508_t0
ABO40886.1	Yersinia ruckeri	6.0	508_t0
AAV32840.1	Pseudomonas aeruginosa	7.0	508_t0
ABX54690.1	Enterococcus faecalis	14.0	508_t0
AEP40502.2	Enterococcus faecium	13.0	508_t0
CAA42594.1	Streptomyces lividans 1326	3.0	508_t0
AAA24786.1	Enterococcus gallinarum	6.0	508_t0
AAD12162.1	Streptomyces fradiae	4.0	508_t0
BAA07390.1	Kitasatospora aureofaciens	4.0	508_t0
AAX14803.1	Acinetobacter baumannii	4.0	508_t0
CAA27061.1	Bacillus circulans	1.0	508_t0
ACJ63262.1	Escherichia coli	8.0	508_t0
AAK99775.1	Streptococcus pneumoniae R6	5.0	508_t0
BAJ42218.1	Escherichia coli DH1	6.0	508_t0
AAU93796.1	Aeromicrobium erythreum	3.0	508_t0
CAG27800.1	uncultured bacterium	5.0	508_t0
AAG05661.1	Pseudomonas aeruginosa PAO1	3.0	508_t0
NP_249116.1	Pseudomonas aeruginosa PAO1	4.0	508_t0
AAW34150.1	Campylobacter jejuni	6.0	508_t0
AAD22403.1	Enterococcus gallinarum	25.0	508_t0
AFH35853.1	Escherichia coli	7.0	508_t0
AAL68645.1	Vibrio cholerae	4.0	508_t0
CAC14594.1	Stenotrophomonas maltophilia	6.0	508_t0
BAB43543.1	Staphylococcus aureus subsp. aureus N315	6.0	508_t0
AAP69916.1	Fusobacterium nucleatum	4.0	508_t0
NP_418574.1	Escherichia coli str. K-12 substr. MG1655	14.0	508_t0
AHA41504.1	Rhodococcus hoagii	4.0	508_t0
AAC74149.2	Escherichia coli str. K-12 substr. MG1655	3.0	508_t0
BAD63613.1	Bacillus clausii KSM-K16	10.0	508_t0
CAA11707.1	Streptomyces ambofaciens	1.0	508_t0
ALH22601.1	Acinetobacter baumannii	1.0	508_t0
BAI83385.1	Macrococcus caseolyticus	14.0	508_t0
ABV18113.1	Escherichia coli O139:H28 str. E24377A	5.0	508_t0
CAA37806.1	Haemophilus influenzae	1.0	508_t0
AAU95768.1	Staphylococcus aureus	8.0	508_t0
AAA25655.1	Proteus mirabilis	1.0	508_t0
AAA76822.1	Campylobacter jejuni	6.0	508_t0
AET15272.1	Pasteurella multocida 36950	2.0	508_t0
CAA77936.1	Escherichia coli	1.0	508_t0
AAK99679.1	Streptococcus pneumoniae R6	2.0	508_t0
AAG05913.1	Pseudomonas aeruginosa PAO1	1.0	508_t0
AAA88548.1	Staphylococcus aureus	8.0	508_t0
AFQ93498.1	Enterobacter cloacae	3.0	508_t0
CAE50926.1	Enterococcus durans	4.0	508_t0
ABQ47844.1	Staphylococcus aureus subsp. aureus JH9	6.0	508_t0
AAU89132.1	Aeromonas caviae	5.0	508_t0
AFK13828.1	Enterobacter cloacae	4.0	508_t0
AAF61331.1	Enterococcus gallinarum	4.0	508_t0
AAF04458.1	Elizabethkingia meningoseptica	1.0	508_t0
AHH86051.1	Brevibacillus brevis	3.0	508_t0
AAC61671.1	Staphylococcus cohnii	1.0	508_t0
ACT97371.1	uncultured organism	1.0	508_t0
CAA64891.1	Neisseria gonorrhoeae	4.0	508_t0
AIA08936.1	Streptomyces sp. WAC4747	3.0	508_t0
AAD08227.1	Helicobacter pylori 26695	1.0	508_t0
AAW38464.1	Staphylococcus aureus subsp. aureus COL	1.0	508_t0
CBL80435.1	Staphylococcus aureus	1.0	508_t0
BAG75524.1	Enterococcus faecium	2.0	508_t0
AGI65307.1	Acinetobacter schindleri	1.0	508_t0
ATL95930.1	Campylobacter jejuni	1.0	508_t0
ACJ41547.2	Acinetobacter baumannii AB0057	1.0	508_t0
ACK43806.1	Aeromonas media	1.0	508_t0
AAA99505.1	Bacillus licheniformis	1.0	508_t0
AAD22144.1	Klebsiella aerogenes	1.0	508_t0
AAA26685.1	Streptomyces fradiae	1.0	508_t0
AEM66528.1	Riemerella anatipestifer	1.0	508_t0
BAA14147.1	Staphylococcus aureus	1.0	508_t0
BAH63252.1	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	1.0	508_t0
AAL20862.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	2.0	508_t0
AAL55262.1	Chryseobacterium gleum	1.0	508_t0
AGV28567.1	Acinetobacter baumannii	1.0	508_t0
AAC76297.1	Escherichia coli str. K-12 substr. MG1655	7.0	508_t0
CAA23899.1	Escherichia coli	2.0	508_t0
BAA15221.2	Escherichia coli str. K-12 substr. W3110	2.0	508_t0
CAA88265.1	Escherichia coli	1.0	508_t0
AAA26683.1	Staphylococcus aureus	1.0	508_t0
ALF06101.1	Clostridium botulinum	1.0	508_t0
CAC80727.1	Aeromonas salmonicida subsp. salmonicida	1.0	508_t0
ANW35663.1	Arcobacter butzleri	1.0	508_t0
CAA26964.1	Staphylococcus aureus	1.0	508_t0
AAP82271	Burkholderia pseudomallei	1.0	508_t0
APB03223.1	Paenibacillus sp. LC231	1.0	508_t0
AAP43642.1	Salmonella enterica subsp. enterica serovar Agona	1.0	508_t0
AAG05883.1	Pseudomonas aeruginosa PAO1	1.0	508_t0
AAK07612.2	Bacteroides coprosuis DSM 18011	1.0	508_t0
AAQ63644.1	Bacillus clausii	1.0	508_t0
ABX54688.1	Enterococcus faecalis	1.0	508_t0
BAL40892.1	Chryseobacterium indologenes NBRC 14944	1.0	508_t0
APB03219.1	Paenibacillus sp. LC231	6778.0	519_t2
AEY83581	Staphylococcus aureus	5365.0	519_t2
ADM92605.1	Acinetobacter baumannii	512.0	519_t2
CDO61516.1	Enterococcus faecium	7963.0	519_t2
BAD59497.1	Nocardia farcinica IFM 10152	16004.0	519_t2
AAO47226.2	Streptomyces rishiriensis	11283.0	519_t2
APB03216.1	Paenibacillus sp. LC231	4899.0	519_t2
AAP43110.2	Escherichia coli	1346.0	519_t2
AAL19305.1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1156.0	519_t2
CDO61513.1	Enterococcus faecium	8143.0	519_t2
AAL73129.1	Streptococcus pyogenes	1730.0	519_t2
AAV85982.1	Neisseria gonorrhoeae	10845.0	519_t2
NP_862226.1	Corynebacterium striatum	3094.0	519_t2
AAA26832.1	Streptomyces fradiae	722.0	519_t2
A1A317	Bifidobacterium adolescentis ATCC 15703	8955.0	519_t2
AAK76137.1	Streptococcus pneumoniae TIGR4	3406.0	519_t2
CAA79727.1	Bacteroides fragilis	4999.0	519_t2
AAM09851.1	Enterococcus faecium	658.0	519_t2
AAF01499.1	Streptococcus pyogenes	2242.0	519_t2
ABA71733.1	Enterococcus faecalis	4236.0	519_t2
AAA23033.2	Campylobacter jejuni	1182.0	519_t2
AAR84672.1	Paenibacillus popilliae ATCC 14706	1256.0	519_t2
CAD55718.1	Bacteroides coprosuis DSM 18011	628.0	519_t2
ANZ79241.1	uncultured bacterium	1430.0	519_t2
BAE06008.1	Pseudomonas aeruginosa	509.0	519_t2
ABA71731.1	Enterococcus faecalis	2530.0	519_t2
AAA27471.1	Bacteroides fragilis	345.0	519_t2
AHA41499.1	Rhodococcus hoagii	656.0	519_t2
AAA65956.1	Enterococcus faecium	160.0	519_t2
AAC76297.1	Escherichia coli str. K-12 substr. MG1655	26.0	519_t2
ABA71727.1	Enterococcus faecalis	1179.0	519_t2
BAE85478.1	Desulfitobacterium hafniense Y51	3155.0	519_t2
